genres,href,id,images,name,popularity,type,uri,external_urls.spotify,followers.href,followers.total,time_range
['funk rock'],https://api.spotify.com/v1/artists/3BRSFkEbxBXsZASWPOMOuP,3BRSFkEbxBXsZASWPOMOuP,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb69a15da3b173ea8eba0fc76d', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517469a15da3b173ea8eba0fc76d', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17869a15da3b173ea8eba0fc76d', 'width': 160}]",Post Sex Nachos,41,artist,spotify:artist:3BRSFkEbxBXsZASWPOMOuP,https://open.spotify.com/artist/3BRSFkEbxBXsZASWPOMOuP,,23784,short_term
['neoclassical'],https://api.spotify.com/v1/artists/3IpQziA6YwD53PQ5xbwgLF,3IpQziA6YwD53PQ5xbwgLF,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebd48e69f1a6285f43905ad89b', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174d48e69f1a6285f43905ad89b', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178d48e69f1a6285f43905ad89b', 'width': 160}]",Jóhann Jóhannsson,62,artist,spotify:artist:3IpQziA6YwD53PQ5xbwgLF,https://open.spotify.com/artist/3IpQziA6YwD53PQ5xbwgLF,,315743,short_term
['indie'],https://api.spotify.com/v1/artists/5b5bt4mZQpJMoCRbiQ7diH,5b5bt4mZQpJMoCRbiQ7diH,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebab79a6385448318e8944d1ff', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ab79a6385448318e8944d1ff', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ab79a6385448318e8944d1ff', 'width': 160}]",Royel Otis,75,artist,spotify:artist:5b5bt4mZQpJMoCRbiQ7diH,https://open.spotify.com/artist/5b5bt4mZQpJMoCRbiQ7diH,,600271,short_term
[],https://api.spotify.com/v1/artists/5p00nwfrUcZvA9WbXZeQOk,5p00nwfrUcZvA9WbXZeQOk,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebda5e09e1421fb323d8a974dc', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174da5e09e1421fb323d8a974dc', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178da5e09e1421fb323d8a974dc', 'width': 160}]",moondoggy,48,artist,spotify:artist:5p00nwfrUcZvA9WbXZeQOk,https://open.spotify.com/artist/5p00nwfrUcZvA9WbXZeQOk,,12294,short_term
[],https://api.spotify.com/v1/artists/6fC2AcsQtd9h4BWELbbire,6fC2AcsQtd9h4BWELbbire,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb0206d13230ade13d3e4255ba', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051740206d13230ade13d3e4255ba', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1780206d13230ade13d3e4255ba', 'width': 160}]",Peach Pit,61,artist,spotify:artist:6fC2AcsQtd9h4BWELbbire,https://open.spotify.com/artist/6fC2AcsQtd9h4BWELbbire,,888931,short_term
[],https://api.spotify.com/v1/artists/7n0i6RECXvCkOElGs6IP97,7n0i6RECXvCkOElGs6IP97,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb4765c93e317ab77395d1a5f2', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051744765c93e317ab77395d1a5f2', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1784765c93e317ab77395d1a5f2', 'width': 160}]",Rec Hall,43,artist,spotify:artist:7n0i6RECXvCkOElGs6IP97,https://open.spotify.com/artist/7n0i6RECXvCkOElGs6IP97,,21259,short_term
[],https://api.spotify.com/v1/artists/0YhUSm86okLWldQVwJkLlP,0YhUSm86okLWldQVwJkLlP,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb14bdca85282f9980069cc350', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517414bdca85282f9980069cc350', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17814bdca85282f9980069cc350', 'width': 160}]",Bad Suns,56,artist,spotify:artist:0YhUSm86okLWldQVwJkLlP,https://open.spotify.com/artist/0YhUSm86okLWldQVwJkLlP,,499398,short_term
[],https://api.spotify.com/v1/artists/0xPoVNPnxIIUS1vrxAYV00,0xPoVNPnxIIUS1vrxAYV00,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb756c9f2be6294d04107ae215', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174756c9f2be6294d04107ae215', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178756c9f2be6294d04107ae215', 'width': 160}]",Del Water Gap,64,artist,spotify:artist:0xPoVNPnxIIUS1vrxAYV00,https://open.spotify.com/artist/0xPoVNPnxIIUS1vrxAYV00,,285360,short_term
[],https://api.spotify.com/v1/artists/1qChcfwij4nN6hsCLTKBJX,1qChcfwij4nN6hsCLTKBJX,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb800ef5fa668ea3eea958aa1b', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174800ef5fa668ea3eea958aa1b', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178800ef5fa668ea3eea958aa1b', 'width': 160}]",Kids That Fly,46,artist,spotify:artist:1qChcfwij4nN6hsCLTKBJX,https://open.spotify.com/artist/1qChcfwij4nN6hsCLTKBJX,,37617,short_term
[],https://api.spotify.com/v1/artists/2HkSsS8O2U2gPhnCGVN5vn,2HkSsS8O2U2gPhnCGVN5vn,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb20d75570b0e6c6e124d2a3fa', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517420d75570b0e6c6e124d2a3fa', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17820d75570b0e6c6e124d2a3fa', 'width': 160}]",BETWEEN FRIENDS,62,artist,spotify:artist:2HkSsS8O2U2gPhnCGVN5vn,https://open.spotify.com/artist/2HkSsS8O2U2gPhnCGVN5vn,,332374,short_term
[],https://api.spotify.com/v1/artists/2WosnSaZPybvQfyGUvD3NX,2WosnSaZPybvQfyGUvD3NX,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebce399ad7547d8ee3b7fc86a0', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ce399ad7547d8ee3b7fc86a0', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ce399ad7547d8ee3b7fc86a0', 'width': 160}]",Super Guitar Bros,48,artist,spotify:artist:2WosnSaZPybvQfyGUvD3NX,https://open.spotify.com/artist/2WosnSaZPybvQfyGUvD3NX,,43753,short_term
[],https://api.spotify.com/v1/artists/2g2HWripkxzRZDZJ4KTBSB,2g2HWripkxzRZDZJ4KTBSB,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebbe3846f0eef506400091a3e6', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174be3846f0eef506400091a3e6', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178be3846f0eef506400091a3e6', 'width': 160}]",Rebounder,44,artist,spotify:artist:2g2HWripkxzRZDZJ4KTBSB,https://open.spotify.com/artist/2g2HWripkxzRZDZJ4KTBSB,,35175,short_term
[],https://api.spotify.com/v1/artists/2wMknlekLTOb4vRWn61NO5,2wMknlekLTOb4vRWn61NO5,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebc12e3f4dacc36924b515b6f5', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174c12e3f4dacc36924b515b6f5', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178c12e3f4dacc36924b515b6f5', 'width': 160}]",The Backfires,33,artist,spotify:artist:2wMknlekLTOb4vRWn61NO5,https://open.spotify.com/artist/2wMknlekLTOb4vRWn61NO5,,22439,short_term
[],https://api.spotify.com/v1/artists/3xc0dLvxU2nAYefEJdDVBw,3xc0dLvxU2nAYefEJdDVBw,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb9cd6e8bfc1ccc2ce904542be', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051749cd6e8bfc1ccc2ce904542be', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1789cd6e8bfc1ccc2ce904542be', 'width': 160}]",Never Ending Fall,39,artist,spotify:artist:3xc0dLvxU2nAYefEJdDVBw,https://open.spotify.com/artist/3xc0dLvxU2nAYefEJdDVBw,,25204,short_term
[],https://api.spotify.com/v1/artists/41pd7r1XBRsvdxY3vHEgib,41pd7r1XBRsvdxY3vHEgib,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb0e05e549428cb38b2f3e7a60', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051740e05e549428cb38b2f3e7a60', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1780e05e549428cb38b2f3e7a60', 'width': 160}]",Wunderhorse,61,artist,spotify:artist:41pd7r1XBRsvdxY3vHEgib,https://open.spotify.com/artist/41pd7r1XBRsvdxY3vHEgib,,226514,short_term
[],https://api.spotify.com/v1/artists/42FzVuyJH8YbkhzWSR2n8E,42FzVuyJH8YbkhzWSR2n8E,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb76229f377eac78b8cfe6ffdf', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517476229f377eac78b8cfe6ffdf', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17876229f377eac78b8cfe6ffdf', 'width': 160}]",almost monday,62,artist,spotify:artist:42FzVuyJH8YbkhzWSR2n8E,https://open.spotify.com/artist/42FzVuyJH8YbkhzWSR2n8E,,181395,short_term
[],https://api.spotify.com/v1/artists/4AGNJdJiVltImYk1UTLE0K,4AGNJdJiVltImYk1UTLE0K,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebdccb94438a3983d26c2b7529', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174dccb94438a3983d26c2b7529', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178dccb94438a3983d26c2b7529', 'width': 160}]",Sports,62,artist,spotify:artist:4AGNJdJiVltImYk1UTLE0K,https://open.spotify.com/artist/4AGNJdJiVltImYk1UTLE0K,,241060,short_term
[],https://api.spotify.com/v1/artists/4iyP4VOGOLzbt2Vxcyu6zG,4iyP4VOGOLzbt2Vxcyu6zG,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb5237bb6671a351537c465595', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051745237bb6671a351537c465595', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1785237bb6671a351537c465595', 'width': 160}]",Winyah,53,artist,spotify:artist:4iyP4VOGOLzbt2Vxcyu6zG,https://open.spotify.com/artist/4iyP4VOGOLzbt2Vxcyu6zG,,29718,short_term
[],https://api.spotify.com/v1/artists/4paO0IcImRazkM6c1RUt48,4paO0IcImRazkM6c1RUt48,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb875dfa1d6418990c9067ae90', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174875dfa1d6418990c9067ae90', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178875dfa1d6418990c9067ae90', 'width': 160}]",The Blasting Company,56,artist,spotify:artist:4paO0IcImRazkM6c1RUt48,https://open.spotify.com/artist/4paO0IcImRazkM6c1RUt48,,52664,short_term
[],https://api.spotify.com/v1/artists/6LuN9FCkKOj5PcnpouEgny,6LuN9FCkKOj5PcnpouEgny,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb8f77c3eddc1869e9542b04bc', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051748f77c3eddc1869e9542b04bc', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1788f77c3eddc1869e9542b04bc', 'width': 160}]",Khalid,83,artist,spotify:artist:6LuN9FCkKOj5PcnpouEgny,https://open.spotify.com/artist/6LuN9FCkKOj5PcnpouEgny,,16996017,short_term
[],https://api.spotify.com/v1/artists/6O9vGMmTwzihULICPCsNf2,6O9vGMmTwzihULICPCsNf2,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb871bccd59b468f93c4650066', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174871bccd59b468f93c4650066', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178871bccd59b468f93c4650066', 'width': 160}]",Balu Brigada,66,artist,spotify:artist:6O9vGMmTwzihULICPCsNf2,https://open.spotify.com/artist/6O9vGMmTwzihULICPCsNf2,,198604,short_term
[],https://api.spotify.com/v1/artists/6eJa3zG1QZLRB3xgRuyxbm,6eJa3zG1QZLRB3xgRuyxbm,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb70bbb7950edf20fc5847de6c', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517470bbb7950edf20fc5847de6c', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17870bbb7950edf20fc5847de6c', 'width': 160}]",Dayglow,62,artist,spotify:artist:6eJa3zG1QZLRB3xgRuyxbm,https://open.spotify.com/artist/6eJa3zG1QZLRB3xgRuyxbm,,1070666,short_term
